epoch,speed,hdop
1631521602.027,7.66,0.5
1631521602.129,7.75,0.5
1631521602.231,7.72,0.5
1631521602.333,7.94,0.5
1631521602.435,8.13,0.5
1631521602.537,8.26,0.5
1631521602.639,8.5,0.5
1631521602.741,8.69,0.5
1631521602.843,8.99,0.5
1631521602.945,9.23,0.5
1631521603.047,9.41,0.5
1631521603.149,9.54,0.5
1631521603.251,9.7,0.5
1631521603.353,10.0,0.5
1631521603.455,10.22,0.5
1631521603.557,10.52,0.5
1631521603.659,10.73,0.5
1631521603.761,10.99,0.5
1631521603.863,11.2,0.5
1631521603.965,11.43,0.5
1631521604.067,11.59,0.5
1631521604.169,11.66,0.5
1631521604.271,11.89,0.5
1631521604.373,11.84,0.5
1631521604.475,11.78,0.5
1631521604.577,11.69,0.5
1631521604.679,11.7,0.5
1631521604.781,11.7,0.5
1631521604.883,11.79,0.5
1631521604.985,11.76,0.5
1631521605.087,11.72,0.5
1631521605.189,11.72,0.5
1631521605.291,11.91,0.5
1631521605.393,11.91,0.5
1631521605.495,11.98,0.5
1631521605.598,12.12,0.5
1631521605.699,12.41,0.5
1631521605.801,12.34,0.5
1631521605.903,12.6,0.5
1631521606.004,12.69,0.5
1631521606.106,12.91,0.5
1631521606.209,13.12,0.5
1631521606.31,13.24,0.6
1631521606.411,13.37,0.6
1631521606.513,13.67,0.6
1631521606.614,13.67,0.6
1631521606.717,14.11,0.6
1631521606.819,14.16,0.6
1631521606.921,14.31,0.6
1631521607.023,14.49,0.6
1631521607.125,14.67,0.6
1631521607.227,14.89,0.6
1631521607.329,15.06,0.6
1631521607.431,15.21,0.6
1631521607.533,15.42,0.6
1631521607.635,15.67,0.6
1631521607.737,15.81,0.6
1631521607.839,15.99,0.6
1631521607.941,16.15,0.6
1631521608.043,16.37,0.6
1631521608.145,16.55,0.6
1631521608.247,16.79,0.6
1631521608.349,16.92,0.6
1631521608.451,17.01,0.6
1631521608.553,16.9,0.6
1631521608.655,16.88,0.6
1631521608.757,16.93,0.6
1631521608.859,16.9,0.6
1631521608.961,16.95,0.6
1631521609.063,16.95,0.6
1631521609.165,16.9,0.6
1631521609.267,16.89,0.6
1631521609.369,16.83,0.6
1631521609.471,16.94,0.6
1631521609.573,17.02,0.6
1631521609.675,17.11,0.6
1631521609.777,17.07,0.6
1631521609.879,16.89,0.6
1631521609.981,16.81,0.6
1631521610.083,16.81,0.6
1631521610.185,16.75,0.6
1631521610.287,16.77,0.5
1631521610.389,16.77,0.5
1631521610.491,16.81,0.5
1631521610.593,16.74,0.5
1631521610.695,16.82,0.5
1631521610.797,16.86,0.5
1631521610.899,16.9,0.5
1631521611.0,16.97,0.5
1631521611.102,17.01,0.5
1631521611.204,17.01,0.5
1631521611.305,17.11,0.5
1631521611.406,17.12,0.5
1631521611.508,17.22,0.5
1631521611.61,17.15,0.5
1631521611.711,17.27,0.5
1631521611.813,17.32,0.5
1631521611.914,17.31,0.5
1631521612.015,17.32,0.5
1631521612.117,17.35,0.5
1631521612.219,17.43,0.5
1631521612.321,17.45,0.5
1631521612.423,17.57,0.5
1631521612.525,17.55,0.5
1631521612.627,17.59,0.5
1631521612.729,17.66,0.5
1631521612.831,17.68,0.5
1631521612.933,17.63,0.5
1631521613.035,17.72,0.5
1631521613.137,17.75,0.5
1631521613.239,17.78,0.5
1631521613.341,17.86,0.5
1631521613.443,17.83,0.5
1631521613.545,17.85,0.5
1631521613.647,17.9,0.5
1631521613.749,17.86,0.5
1631521613.851,17.92,0.5
1631521613.953,17.93,0.5
1631521614.055,17.99,0.5
1631521614.157,17.99,0.5
1631521614.259,18.07,0.5
1631521614.361,18.11,0.5
1631521614.463,18.14,0.5
1631521614.565,18.09,0.5
1631521614.667,18.16,0.5
1631521614.769,18.11,0.5
1631521614.871,18.14,0.5
1631521614.973,18.22,0.5
1631521615.075,18.15,0.5
1631521615.177,18.21,0.5
1631521615.279,18.15,0.5
1631521615.381,18.28,0.5
1631521615.483,18.29,0.5
1631521615.585,18.3,0.5
1631521615.687,18.36,0.5
1631521615.789,18.31,0.5
1631521615.891,18.27,0.5
1631521615.993,18.32,0.5
1631521616.093,18.36,0.5
1631521616.194,18.32,0.5
1631521616.296,18.42,0.5
1631521616.398,18.31,0.5
1631521616.5,18.34,0.5
1631521616.602,18.24,0.5
1631521616.704,18.34,0.5
1631521616.806,18.32,0.5
1631521616.907,18.43,0.5
1631521617.009,18.31,0.5
1631521617.111,18.26,0.5
1631521617.212,18.22,0.5
1631521617.313,18.3,0.5
1631521617.415,18.34,0.5
1631521617.517,18.39,0.5
1631521617.619,18.38,0.5
1631521617.721,18.21,0.5
1631521617.823,18.19,0.5
1631521617.925,18.22,0.5
1631521618.027,18.18,0.5
1631521618.129,18.26,0.5
1631521618.231,18.24,0.5
1631521618.333,18.23,0.5
1631521618.435,18.11,0.5
1631521618.537,18.11,0.5
1631521618.639,18.05,0.5
1631521618.741,18.19,0.5
1631521618.843,18.13,0.5
1631521618.945,17.94,0.5
1631521619.047,17.92,0.5
